1785330252.720932 cpu0 1680711 4019 588852 57058542 111306 0 2177
1785330252.720932 cpu1 1711410 2968 535175 57093419 109983 0 4284
1785330252.720932 cpu2 952847 22 221700 58538041 4389 0 0
1785330252.720932 cpu3 436487 8 137799 59162032 1957 0 0
1785330252.720932 cpu4 357929 7 111690 59276760 1587 0 0
1785330252.720932 cpu5 305282 9 100043 59346682 1018 0 0
1785330252.720932 cpu6 291762 4 97009 59364674 1301 0 0
1785330252.720932 cpu7 633022 12 143622 58961786 3178 0 0
1785330252.720932 cpu8 290345 17 99170 59365184 696 0 0
1785330252.720932 cpu9 279829 8 94692 59381347 660 0 0
1785330252.720932 cpu10 274209 2 93956 59387468 544 0 0
1785330252.720932 cpu11 268155 10 92551 59395217 520 0 0
1785330252.720932 cpu12 1332687 9738 270670 57882578 155187 0 3281
1785330252.720932 cpu13 942691 2619 286853 58282862 133178 0 2124
1785330252.720932 cpu14 329109 7 104312 59321313 1532 0 0
1785330252.720932 cpu15 193986 0 57528 59519187 547 0 0
1785330252.720932 cpu16 182381 1 49541 59542059 331 0 0
1785330252.720932 cpu17 173798 2 44113 59558199 223 0 0
1785330252.720932 cpu18 170569 1 41067 59566100 205 0 0
1785330252.720932 cpu19 257484 0 64983 59448323 915 0 0
1785330252.720932 cpu20 163242 1 39629 59576781 224 0 0
1785330252.720932 cpu21 161536 2 36990 59577476 171 0 0
1785330252.720932 cpu22 159666 7 36166 59584484 148 0 0
1785330252.720932 cpu23 161395 0 35432 59583626 236 0 0
1785330252.826951 cpu0 1680713 4019 588854 57058548 111306 0 2177
1785330252.826951 cpu1 1711412 2968 535178 57093426 109983 0 4284
1785330252.826951 cpu2 952847 22 221700 58538051 4389 0 0
1785330252.826951 cpu3 436487 8 137799 59162042 1957 0 0
1785330252.826951 cpu4 357929 7 111690 59276770 1587 0 0
1785330252.826951 cpu5 305282 9 100043 59346693 1018 0 0
1785330252.826951 cpu6 291762 4 97009 59364685 1301 0 0
1785330252.826951 cpu7 633022 12 143622 58961796 3178 0 0
