#	instance	short	lang	mech	leaf B/T/S	label	n_leaf	fence	cov%	cls%	why	runner-up
1	redis__redis-12272	redis-t12272	C	B	47/36/17	B	514	50	100	98	cell C×B (n=1, median fence 50)	-
2	micropython__micropython-13039	micropython-t13039	C	B	19/69/12	T	1961	17	99	91	cell C×T (n=8, 3 excl, median fence 38)	jqlang-t2839
3	redis__redis-10068	redis-t10068	C	B	36/21/43	M	1123	38	100	97	cell C×M resolution-replacement 2026-08-27: valkey-1499 unresolved (no patch); rank over resolved-eligible (median 27)	redis-t10764
4	jqlang__jq-2598	jqlang-t2598	C	B	9/13/77	S	7233	54	98	94	cell C×S (n=13, 2 excl, median fence 54)	jqlang-t2728
5	nlohmann__json-4237	nlohmann-t4237	C++	B	70/20/10	B	1366	624	100	100	cell C++×B (n=12, 1 excl, median fence 188)	fmtlib-t3901
6	fmtlib__fmt-3750	fmtlib-t3750	C++	B	57/29/14	B	585	174	100	99	top-up C++×B (majority; empty: T(n=0),S(n=0),M(n=0))	fmtlib-t3901
7	fmtlib__fmt-3901	fmtlib-t3901	C++	B	72/21/7	B	383	188	100	100	top-up C++×B (majority; empty: T(n=0),S(n=0),M(n=0))	fmtlib-t3863
8	fmtlib__fmt-2457	fmtlib-t2457	C++	B	58/25/17	B	1284	112	99	97	top-up C++×B (majority; empty: T(n=0),S(n=0),M(n=0))	fmtlib-t3863
9	sharkdp__bat-2835	sharkdp-t2835	Rust	A	52/44/4	M	4252	251	99	98	cell Rust×M (n=4, 1 excl, median fence 251)	uutils-t6682
10	burntsushi__ripgrep-2209	burntsushi-t2209	Rust	A	2/98/0	T	25785	82	99	97	cell Rust×T (n=8, median fence 92)	uutils-t6377
11	nushell__nushell-13831	nushell-t13831	Rust	A	62/34/4	B	1328	341	100	99	cell Rust×B (n=31, 2 excl, median fence 341)	tokio-rs-t4867
12	tokio-rs__axum-1730	tokio-rs-t1730	Rust	A	86/11/2	B	2987	457	99	99	top-up Rust×B (majority; empty: S(n=0))	tokio-rs-t4867
13	gin-gonic__gin-2121	gin-gonic-t2121	Go	A	44/55/1	T	6263	18	99	94	cell Go×T (n=7, 3 excl, median fence 19)	gin-gonic-t4003
14	caddyserver__caddy-4774	caddyserver-t4774	Go	A	60/35/4	B	35127	192	98	97	cell Go×B (n=13, 5 excl, median fence 178)	gohugoio-t12204
