1785332482.410322353	2088523	/bin/sh -c /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332482.410322353	2088610	/root/python3.11/bin/python3.11 /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332482.410322353	2088612	bash 
1785332482.916885229	2088523	/bin/sh -c /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332482.916885229	2088610	/root/python3.11/bin/python3.11 /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332482.916885229	2088612	bash 
1785332482.916885229	2088797	git status 
1785332483.424191940	2088523	/bin/sh -c /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332483.424191940	2088610	/root/python3.11/bin/python3.11 /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332483.424191940	2088612	bash 
1785332483.424191940	2089006	git clean -fdq 
1785332483.931767329	2088523	/bin/sh -c /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332483.931767329	2088610	/root/python3.11/bin/python3.11 /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332483.931767329	2088612	bash 
1785332484.438133934	2088523	/bin/sh -c /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332484.438133934	2088610	/root/python3.11/bin/python3.11 /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332484.438133934	2088612	bash 
1785332484.945058203	2088523	/bin/sh -c /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332484.945058203	2088610	/root/python3.11/bin/python3.11 /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332484.945058203	2088612	bash 
1785332485.451313142	2088523	/bin/sh -c /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332485.451313142	2088610	/root/python3.11/bin/python3.11 /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
1785332485.451313142	2088612	bash 
1785332485.957500990	2088523	/bin/sh -c /root/python3.11/bin/swerex-remote --auth-token 4f88ba41-18d7-48ca-8843-18779752a5f8 
